file_id,n_characters,n_syllables,n_tokens,n_polysyllabic_tokens,n_long_tokens,n_types,n_sentences,avg_characters_per_word,std_characters_per_word,avg_syllables_per_word,std_syllables_per_word,ratio_long_words,avg_words_per_sentence,std_words_per_sentence,word_length_distribution
19,215,0,38,0,30,33,2,4.34211,2.48538,0,0.0,0.78947,19.0,21.2132,"{'4_character_tokens': 0.28947, '3_character_tokens': 0.26316, '5_character_tokens': 0.07895, '1_character_tokens': 0.07895, '2_character_tokens': 0.07895, '7_character_tokens': 0.07895, '11_character_tokens': 0.05263, '8_character_tokens': 0.02632, '6_character_tokens': 0.02632, '10_character_tokens': 0.02632}"
20,680,0,133,0,99,86,6,4.03759,2.1299,0,0.0,0.74436,22.16667,14.784,"{'2_character_tokens': 0.22556, '3_character_tokens': 0.20301, '4_character_tokens': 0.15038, '7_character_tokens': 0.11278, '5_character_tokens': 0.09774, '1_character_tokens': 0.06767, '6_character_tokens': 0.06767, '8_character_tokens': 0.05263, '9_character_tokens': 0.02256}"
21,256,0,52,0,43,40,5,3.78846,2.1451,0,0.0,0.82692,10.4,6.94982,"{'2_character_tokens': 0.25, '3_character_tokens': 0.23077, '4_character_tokens': 0.13462, '5_character_tokens': 0.13462, '1_character_tokens': 0.07692, '7_character_tokens': 0.07692, '6_character_tokens': 0.03846, '9_character_tokens': 0.03846, '10_character_tokens': 0.01923}"
22,221,0,46,0,39,40,2,3.82609,1.78019,0,0.0,0.84783,23.0,25.45584,"{'3_character_tokens': 0.32609, '4_character_tokens': 0.23913, '2_character_tokens': 0.21739, '8_character_tokens': 0.08696, '5_character_tokens': 0.06522, '7_character_tokens': 0.04348, '6_character_tokens': 0.02174}"
23,4547,0,848,0,644,433,49,4.21816,2.30513,0,0.0,0.75943,17.30612,23.74535,"{'3_character_tokens': 0.22877, '2_character_tokens': 0.20283, '4_character_tokens': 0.15448, '5_character_tokens': 0.12736, '6_character_tokens': 0.06958, '7_character_tokens': 0.0684, '8_character_tokens': 0.05542, '1_character_tokens': 0.04599, '9_character_tokens': 0.01769, '10_character_tokens': 0.01651, '11_character_tokens': 0.0059, '14_character_tokens': 0.00354, '13_character_tokens': 0.00118, '15_character_tokens': 0.00118, '12_character_tokens': 0.00118}"
24,681,0,118,0,84,88,11,4.61864,2.28305,0,0.0,0.71186,10.72727,6.27839,"{'5_character_tokens': 0.19492, '3_character_tokens': 0.16949, '4_character_tokens': 0.16102, '2_character_tokens': 0.15254, '6_character_tokens': 0.09322, '7_character_tokens': 0.08475, '8_character_tokens': 0.0678, '1_character_tokens': 0.0339, '10_character_tokens': 0.01695, '9_character_tokens': 0.00847, '12_character_tokens': 0.00847, '13_character_tokens': 0.00847}"
25,1840,0,361,0,277,185,16,3.93906,2.32538,0,0.0,0.76731,22.5625,13.09946,"{'2_character_tokens': 0.24377, '4_character_tokens': 0.1856, '3_character_tokens': 0.17729, '1_character_tokens': 0.09418, '5_character_tokens': 0.06648, '6_character_tokens': 0.06648, '7_character_tokens': 0.06094, '8_character_tokens': 0.05263, '9_character_tokens': 0.03324, '11_character_tokens': 0.01108, '10_character_tokens': 0.00831}"
26,989,0,186,0,144,116,9,4.04839,2.06458,0,0.0,0.77419,20.66667,11.87434,"{'3_character_tokens': 0.24194, '2_character_tokens': 0.19892, '4_character_tokens': 0.16667, '5_character_tokens': 0.1129, '7_character_tokens': 0.10215, '1_character_tokens': 0.05376, '6_character_tokens': 0.04839, '8_character_tokens': 0.04301, '9_character_tokens': 0.03226}"
27,6457,0,1281,0,1014,504,113,3.9313,1.96173,0,0.0,0.79157,11.33628,7.84403,"{'3_character_tokens': 0.25215, '4_character_tokens': 0.19828, '2_character_tokens': 0.16393, '5_character_tokens': 0.10539, '6_character_tokens': 0.09758, '1_character_tokens': 0.07182, '7_character_tokens': 0.06245, '8_character_tokens': 0.02186, '9_character_tokens': 0.01483, '10_character_tokens': 0.00625, '11_character_tokens': 0.00468, '13_character_tokens': 0.00078}"
28,1038,0,210,0,173,130,13,3.83333,2.25117,0,0.0,0.82381,16.15385,8.95215,"{'2_character_tokens': 0.2619, '4_character_tokens': 0.19048, '3_character_tokens': 0.18571, '5_character_tokens': 0.10952, '1_character_tokens': 0.07619, '6_character_tokens': 0.05238, '7_character_tokens': 0.04286, '8_character_tokens': 0.03333, '9_character_tokens': 0.01905, '10_character_tokens': 0.01429, '12_character_tokens': 0.00476, '11_character_tokens': 0.00476, '13_character_tokens': 0.00476}"
29,1032,0,215,0,181,106,16,3.73488,2.0231,0,0.0,0.84186,13.4375,16.92717,"{'4_character_tokens': 0.25581, '3_character_tokens': 0.17674, '2_character_tokens': 0.15349, '1_character_tokens': 0.13953, '5_character_tokens': 0.11628, '7_character_tokens': 0.08372, '6_character_tokens': 0.03721, '9_character_tokens': 0.0186, '8_character_tokens': 0.0093, '12_character_tokens': 0.00465, '10_character_tokens': 0.00465}"
30,946,0,175,0,126,125,9,4.32571,2.27737,0,0.0,0.72,19.44444,9.79938,"{'2_character_tokens': 0.18286, '4_character_tokens': 0.17714, '3_character_tokens': 0.16, '5_character_tokens': 0.13143, '6_character_tokens': 0.09714, '7_character_tokens': 0.09143, '1_character_tokens': 0.06857, '8_character_tokens': 0.04571, '11_character_tokens': 0.01714, '9_character_tokens': 0.01714, '10_character_tokens': 0.01143}"
31,178,0,34,0,25,21,3,4.02941,2.16704,0,0.0,0.73529,11.33333,2.88675,"{'3_character_tokens': 0.29412, '4_character_tokens': 0.23529, '6_character_tokens': 0.20588, '1_character_tokens': 0.11765, '10_character_tokens': 0.05882, '2_character_tokens': 0.05882, '5_character_tokens': 0.02941}"
32,281,0,53,0,42,50,4,4.16981,1.88859,0,0.0,0.79245,13.25,21.20338,"{'4_character_tokens': 0.26415, '3_character_tokens': 0.20755, '2_character_tokens': 0.15094, '5_character_tokens': 0.13208, '7_character_tokens': 0.11321, '1_character_tokens': 0.03774, '8_character_tokens': 0.03774, '6_character_tokens': 0.03774, '9_character_tokens': 0.01887}"
33,1465,0,260,0,184,128,12,4.5,2.9032,0,0.0,0.70769,21.66667,14.53105,"{'2_character_tokens': 0.23846, '3_character_tokens': 0.18846, '4_character_tokens': 0.13846, '5_character_tokens': 0.07692, '1_character_tokens': 0.06538, '6_character_tokens': 0.06154, '7_character_tokens': 0.06154, '8_character_tokens': 0.05385, '11_character_tokens': 0.05, '9_character_tokens': 0.02692, '10_character_tokens': 0.01923, '12_character_tokens': 0.01154, '13_character_tokens': 0.00769}"
34,541,0,122,0,107,83,4,3.46721,1.68211,0,0.0,0.87705,30.5,19.70618,"{'4_character_tokens': 0.27049, '2_character_tokens': 0.2377, '3_character_tokens': 0.20492, '1_character_tokens': 0.09016, '5_character_tokens': 0.07377, '7_character_tokens': 0.05738, '6_character_tokens': 0.04918, '9_character_tokens': 0.0082, '8_character_tokens': 0.0082}"
35,211,0,36,0,25,31,5,4.69444,2.42392,0,0.0,0.69444,7.2,4.08656,"{'4_character_tokens': 0.19444, '3_character_tokens': 0.16667, '2_character_tokens': 0.16667, '5_character_tokens': 0.13889, '7_character_tokens': 0.13889, '6_character_tokens': 0.05556, '10_character_tokens': 0.02778, '11_character_tokens': 0.02778, '1_character_tokens': 0.02778, '8_character_tokens': 0.02778, '9_character_tokens': 0.02778}"
36,1268,0,254,0,219,155,18,3.75984,1.71064,0,0.0,0.8622,14.11111,14.32353,"{'3_character_tokens': 0.27165, '4_character_tokens': 0.19291, '2_character_tokens': 0.17717, '5_character_tokens': 0.16142, '1_character_tokens': 0.05906, '6_character_tokens': 0.05906, '7_character_tokens': 0.04331, '8_character_tokens': 0.02362, '9_character_tokens': 0.01181}"
37,634,0,124,0,102,89,10,4.03226,2.028,0,0.0,0.82258,12.4,5.56177,"{'3_character_tokens': 0.25, '4_character_tokens': 0.20968, '2_character_tokens': 0.20161, '5_character_tokens': 0.1371, '6_character_tokens': 0.06452, '7_character_tokens': 0.04839, '9_character_tokens': 0.03226, '1_character_tokens': 0.02419, '8_character_tokens': 0.01613, '11_character_tokens': 0.00806, '12_character_tokens': 0.00806}"
38,2658,0,504,0,377,263,26,4.14484,2.10293,0,0.0,0.74802,19.38462,10.40799,"{'3_character_tokens': 0.2381, '4_character_tokens': 0.19841, '2_character_tokens': 0.17659, '6_character_tokens': 0.09524, '5_character_tokens': 0.08532, '7_character_tokens': 0.08532, '1_character_tokens': 0.0496, '8_character_tokens': 0.02976, '9_character_tokens': 0.01984, '10_character_tokens': 0.01786, '11_character_tokens': 0.00397}"
39,1918,0,366,0,290,198,4,3.98361,2.07523,0,0.0,0.79235,91.5,63.11101,"{'2_character_tokens': 0.25956, '4_character_tokens': 0.20219, '3_character_tokens': 0.15301, '5_character_tokens': 0.13115, '6_character_tokens': 0.0929, '7_character_tokens': 0.04918, '1_character_tokens': 0.04645, '8_character_tokens': 0.02732, '9_character_tokens': 0.01639, '10_character_tokens': 0.01366, '11_character_tokens': 0.0082}"
40,603,0,105,0,73,73,5,4.5619,2.65636,0,0.0,0.69524,21.0,10.72381,"{'3_character_tokens': 0.21905, '4_character_tokens': 0.2, '2_character_tokens': 0.17143, '7_character_tokens': 0.09524, '8_character_tokens': 0.06667, '6_character_tokens': 0.06667, '5_character_tokens': 0.05714, '1_character_tokens': 0.04762, '12_character_tokens': 0.0381, '9_character_tokens': 0.01905, '11_character_tokens': 0.00952, '10_character_tokens': 0.00952}"
41,870,0,168,0,128,100,13,4.02381,2.2797,0,0.0,0.7619,12.92308,7.12345,"{'3_character_tokens': 0.25, '4_character_tokens': 0.18452, '2_character_tokens': 0.15476, '1_character_tokens': 0.10119, '6_character_tokens': 0.08333, '5_character_tokens': 0.07143, '7_character_tokens': 0.06548, '9_character_tokens': 0.03571, '8_character_tokens': 0.02976, '10_character_tokens': 0.01786, '12_character_tokens': 0.00595}"
42,858,0,148,0,100,106,4,4.66216,2.48137,0,0.0,0.67568,37.0,30.88689,"{'4_character_tokens': 0.19595, '2_character_tokens': 0.19595, '3_character_tokens': 0.16892, '6_character_tokens': 0.12162, '5_character_tokens': 0.09459, '8_character_tokens': 0.06081, '7_character_tokens': 0.0473, '9_character_tokens': 0.0473, '1_character_tokens': 0.02027, '10_character_tokens': 0.02027, '11_character_tokens': 0.01351, '12_character_tokens': 0.01351}"
43,274,0,48,0,36,44,4,4.5,2.19283,0,0.0,0.75,12.0,6.68331,"{'4_character_tokens': 0.29167, '3_character_tokens': 0.16667, '5_character_tokens': 0.14583, '2_character_tokens': 0.10417, '6_character_tokens': 0.10417, '7_character_tokens': 0.0625, '1_character_tokens': 0.04167, '8_character_tokens': 0.04167, '13_character_tokens': 0.02083, '9_character_tokens': 0.02083}"
44,495,0,97,0,76,65,6,4.06186,2.29952,0,0.0,0.78351,16.16667,10.20621,"{'3_character_tokens': 0.25773, '4_character_tokens': 0.16495, '2_character_tokens': 0.15464, '5_character_tokens': 0.1134, '1_character_tokens': 0.09278, '7_character_tokens': 0.08247, '6_character_tokens': 0.05155, '10_character_tokens': 0.03093, '8_character_tokens': 0.02062, '9_character_tokens': 0.02062, '11_character_tokens': 0.01031}"
45,788,0,162,0,140,108,9,3.77778,1.95921,0,0.0,0.8642,18.0,9.63068,"{'4_character_tokens': 0.22222, '3_character_tokens': 0.20988, '2_character_tokens': 0.19753, '5_character_tokens': 0.15432, '1_character_tokens': 0.08025, '6_character_tokens': 0.05556, '7_character_tokens': 0.02469, '8_character_tokens': 0.02469, '9_character_tokens': 0.01235, '10_character_tokens': 0.01235, '12_character_tokens': 0.00617}"
46,865,0,172,0,142,109,19,3.87791,2.58022,0,0.0,0.82558,9.05263,4.97185,"{'4_character_tokens': 0.26163, '3_character_tokens': 0.18605, '2_character_tokens': 0.17442, '1_character_tokens': 0.11047, '5_character_tokens': 0.09302, '6_character_tokens': 0.06977, '7_character_tokens': 0.0407, '8_character_tokens': 0.03488, '9_character_tokens': 0.01744, '26_character_tokens': 0.00581, '10_character_tokens': 0.00581}"
47,2491,0,503,0,427,223,25,3.84692,2.04102,0,0.0,0.84891,20.12,13.4979,"{'3_character_tokens': 0.26441, '4_character_tokens': 0.20875, '2_character_tokens': 0.18688, '5_character_tokens': 0.12525, '1_character_tokens': 0.06362, '6_character_tokens': 0.05567, '7_character_tokens': 0.02982, '8_character_tokens': 0.02386, '10_character_tokens': 0.0159, '9_character_tokens': 0.01392, '11_character_tokens': 0.00795, '13_character_tokens': 0.00199, '12_character_tokens': 0.00199}"
48,504,0,90,0,66,69,5,4.45556,2.36149,0,0.0,0.73333,18.0,10.02497,"{'3_character_tokens': 0.24444, '4_character_tokens': 0.2, '2_character_tokens': 0.15556, '5_character_tokens': 0.1, '6_character_tokens': 0.06667, '7_character_tokens': 0.06667, '9_character_tokens': 0.05556, '8_character_tokens': 0.04444, '1_character_tokens': 0.03333, '11_character_tokens': 0.02222, '10_character_tokens': 0.01111}"
49,452,0,89,0,70,64,10,4.0,2.09436,0,0.0,0.78652,8.9,5.25885,"{'4_character_tokens': 0.23596, '2_character_tokens': 0.21348, '3_character_tokens': 0.20225, '5_character_tokens': 0.07865, '6_character_tokens': 0.06742, '8_character_tokens': 0.05618, '1_character_tokens': 0.05618, '7_character_tokens': 0.04494, '9_character_tokens': 0.04494}"
50,1963,0,321,0,214,209,34,4.80062,2.65591,0,0.0,0.66667,9.44118,10.60072,"{'3_character_tokens': 0.21807, '2_character_tokens': 0.16199, '4_character_tokens': 0.13707, '5_character_tokens': 0.11838, '6_character_tokens': 0.08723, '8_character_tokens': 0.07788, '7_character_tokens': 0.07165, '10_character_tokens': 0.03738, '1_character_tokens': 0.03115, '9_character_tokens': 0.02492, '11_character_tokens': 0.02492, '12_character_tokens': 0.00312, '17_character_tokens': 0.00312, '13_character_tokens': 0.00312}"
51,1115,0,239,0,207,139,22,3.59414,1.96998,0,0.0,0.86611,10.86364,7.24599,"{'2_character_tokens': 0.23431, '4_character_tokens': 0.20084, '3_character_tokens': 0.17992, '5_character_tokens': 0.13808, '1_character_tokens': 0.11297, '6_character_tokens': 0.05021, '7_character_tokens': 0.03766, '8_character_tokens': 0.02092, '9_character_tokens': 0.01255, '10_character_tokens': 0.00837, '12_character_tokens': 0.00418}"
52,223,0,43,0,36,35,5,4.06977,2.32374,0,0.0,0.83721,8.6,3.43511,"{'4_character_tokens': 0.25581, '2_character_tokens': 0.23256, '3_character_tokens': 0.16279, '5_character_tokens': 0.13953, '7_character_tokens': 0.06977, '1_character_tokens': 0.04651, '12_character_tokens': 0.02326, '6_character_tokens': 0.02326, '10_character_tokens': 0.02326, '9_character_tokens': 0.02326}"
53,146,0,30,0,22,24,4,3.7,2.15198,0,0.0,0.73333,7.5,5.19615,"{'3_character_tokens': 0.2, '2_character_tokens': 0.2, '1_character_tokens': 0.16667, '6_character_tokens': 0.13333, '5_character_tokens': 0.1, '7_character_tokens': 0.1, '4_character_tokens': 0.06667, '8_character_tokens': 0.03333}"
54,580,0,98,0,67,64,4,4.79592,2.51166,0,0.0,0.68367,24.5,8.66025,"{'3_character_tokens': 0.2551, '4_character_tokens': 0.15306, '5_character_tokens': 0.14286, '2_character_tokens': 0.11224, '6_character_tokens': 0.09184, '7_character_tokens': 0.08163, '8_character_tokens': 0.07143, '9_character_tokens': 0.03061, '11_character_tokens': 0.02041, '1_character_tokens': 0.02041, '16_character_tokens': 0.0102, '10_character_tokens': 0.0102}"
55,3158,0,608,0,467,293,45,4.07401,2.22672,0,0.0,0.76809,13.51111,7.79459,"{'4_character_tokens': 0.20066, '2_character_tokens': 0.18257, '3_character_tokens': 0.16447, '5_character_tokens': 0.12171, '1_character_tokens': 0.09868, '6_character_tokens': 0.08059, '7_character_tokens': 0.0625, '8_character_tokens': 0.03947, '9_character_tokens': 0.03618, '11_character_tokens': 0.00493, '10_character_tokens': 0.00493, '12_character_tokens': 0.00329}"
56,1752,0,311,0,216,198,19,4.40193,2.57203,0,0.0,0.69453,16.36842,12.27559,"{'3_character_tokens': 0.20257, '2_character_tokens': 0.1672, '4_character_tokens': 0.16077, '6_character_tokens': 0.09968, '1_character_tokens': 0.08682, '5_character_tokens': 0.07717, '7_character_tokens': 0.06752, '8_character_tokens': 0.06109, '10_character_tokens': 0.02894, '9_character_tokens': 0.02572, '11_character_tokens': 0.01286, '13_character_tokens': 0.00643, '12_character_tokens': 0.00322}"
57,268,0,54,0,45,45,4,3.83333,2.04432,0,0.0,0.83333,13.5,20.37155,"{'2_character_tokens': 0.2037, '5_character_tokens': 0.18519, '4_character_tokens': 0.16667, '3_character_tokens': 0.16667, '1_character_tokens': 0.11111, '7_character_tokens': 0.09259, '8_character_tokens': 0.03704, '9_character_tokens': 0.01852, '6_character_tokens': 0.01852}"
58,231,0,44,0,35,38,3,4.13636,1.89971,0,0.0,0.79545,14.66667,6.35085,"{'3_character_tokens': 0.25, '5_character_tokens': 0.18182, '2_character_tokens': 0.18182, '4_character_tokens': 0.15909, '7_character_tokens': 0.06818, '6_character_tokens': 0.06818, '8_character_tokens': 0.04545, '9_character_tokens': 0.02273, '1_character_tokens': 0.02273}"
59,1161,0,243,0,201,136,16,3.71193,2.03668,0,0.0,0.82716,15.1875,7.25919,"{'3_character_tokens': 0.25514, '2_character_tokens': 0.21399, '4_character_tokens': 0.17695, '1_character_tokens': 0.09053, '5_character_tokens': 0.09053, '7_character_tokens': 0.06173, '6_character_tokens': 0.0535, '9_character_tokens': 0.02881, '8_character_tokens': 0.01646, '10_character_tokens': 0.01235}"
60,824,0,157,0,122,99,9,4.10828,2.35769,0,0.0,0.77707,17.44444,8.33833,"{'2_character_tokens': 0.2293, '3_character_tokens': 0.2293, '4_character_tokens': 0.19108, '8_character_tokens': 0.08917, '5_character_tokens': 0.07643, '1_character_tokens': 0.05096, '7_character_tokens': 0.04459, '6_character_tokens': 0.03822, '11_character_tokens': 0.01911, '9_character_tokens': 0.01911, '10_character_tokens': 0.01274}"
61,879,0,170,0,135,105,15,4.04118,2.16578,0,0.0,0.79412,11.33333,7.66874,"{'3_character_tokens': 0.23529, '2_character_tokens': 0.20588, '4_character_tokens': 0.19412, '5_character_tokens': 0.11176, '6_character_tokens': 0.07059, '7_character_tokens': 0.05882, '1_character_tokens': 0.04706, '8_character_tokens': 0.03529, '10_character_tokens': 0.01765, '9_character_tokens': 0.01176, '13_character_tokens': 0.00588, '11_character_tokens': 0.00588}"
62,1604,0,295,0,219,175,22,4.24407,2.79846,0,0.0,0.74237,13.40909,10.47291,"{'3_character_tokens': 0.23051, '2_character_tokens': 0.19661, '4_character_tokens': 0.13559, '1_character_tokens': 0.09831, '5_character_tokens': 0.08136, '6_character_tokens': 0.07458, '7_character_tokens': 0.05763, '8_character_tokens': 0.04068, '11_character_tokens': 0.02373, '10_character_tokens': 0.01695, '9_character_tokens': 0.01695, '12_character_tokens': 0.01017, '14_character_tokens': 0.01017, '13_character_tokens': 0.00678}"
63,1638,0,316,0,244,163,19,4.12975,2.5246,0,0.0,0.77215,16.63158,6.3,"{'2_character_tokens': 0.24051, '4_character_tokens': 0.21519, '3_character_tokens': 0.14873, '5_character_tokens': 0.09494, '6_character_tokens': 0.07595, '1_character_tokens': 0.07278, '7_character_tokens': 0.05696, '8_character_tokens': 0.03481, '10_character_tokens': 0.02215, '9_character_tokens': 0.01266, '14_character_tokens': 0.00949, '13_character_tokens': 0.00633, '12_character_tokens': 0.00633, '11_character_tokens': 0.00316}"
